B3-1	metastatic	cis
B3-4	metastatic	cis
B3-8	metastatic	cis
B3-9	metastatic	cis
B3-10	metastatic	cis
B3-14	metastatic	cis
B3-18	metastatic	cis
B3-21	metastatic	cis
B3-1-2	metastatic	cis
B3-1-3	metastatic	cis
B3-1-5	metastatic	cis
B3-1-11	metastatic	cis
B3-1-13	metastatic	cis
B3-1-15	metastatic	cis
B3-2-2	metastatic	cis
B3-2-7	metastatic	cis
B3-2-21	metastatic	cis
B3-2-22	metastatic	cis
B3-2-36	metastatic	cis
B3-2-37	metastatic	cis
N3-1	metastatic	cis
N3-4	metastatic	cis
N3-8	metastatic	cis
N3-9	metastatic	cis
N3-10	metastatic	cis
N3-14	metastatic	cis
N3-18	metastatic	cis
N3-21	metastatic	cis
N3-1-2	metastatic	cis
N3-1-3	metastatic	cis
N3-1-5	metastatic	cis
N3-1-11	metastatic	cis
N3-1-13	metastatic	cis
N3-1-15	metastatic	cis
N3-2-2	metastatic	cis
N3-2-7	metastatic	cis
N3-2-21	metastatic	cis
N3-2-22	metastatic	cis
N3-2-36	metastatic	cis
N3-2-37	metastatic	cis
